HUC_8,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
05030102,28.1025,28.738,24.7556,27.0753,29.0393,26.0305,27.0787,29.497,24.6877,27.7009,29.9532,21.7383,27.9105,24.0207,25.8638,24.6687,28.9658,24.805,23.8334,24.6489,28.3623,23.8577,26.5022,30.2403,29.8354,26.9015,30.8814,24.988,27.4826,26.9658,26.8012,28.5276
05030103,29.273,27.9573,22.9332,27.0642,28.2034,25.1304,25.6689,28.5235,23.3887,28.0082,30.7537,21.0752,27.7113,23.2344,25.1808,25.1101,28.0012,24.5819,25.0869,24.535,29.2607,23.2323,26.3151,30.9592,29.7584,25.5905,30.7489,24.2867,27.3198,26.0783,26.3719,29.965
05030104,30.2635,29.3091,24.035,26.7804,29.4161,25.247,24.1351,29.1562,21.1501,26.3232,31.5122,21.9417,26.9693,24.3673,27.3571,25.9685,28.1558,25.2342,25.1097,24.4373,27.888,23.6341,24.8596,30.7553,30.7983,26.7179,29.6541,26.2842,25.5626,26.1705,26.2428,28.4015
05030105,30.4152,30.515,25.7013,29.1755,31.4984,27.885,27.7089,31.4052,23.8215,28.1535,32.8017,23.4004,28.2851,26.4426,29.12,28.5182,30.4146,27.2719,26.0916,26.2752,29.8718,25.6532,28.2722,32.2817,32.098,27.3171,31.8398,26.8671,27.7373,28.7029,29.3285,30.276
05030106,33.7511,33.5945,27.83,30.7758,28.9581,27.9167,27.7136,30.6083,25.0617,32.201,34.9172,25.988,30.2886,28.642,30.1329,29.6122,32.7008,29.6606,30.2515,27.9389,32.0705,31.0147,29.501,34.2379,33.2077,26.7569,32.3545,29.8804,29.923,30.7806,28.3386,34.4175
05030201,33.4057,32.7305,29.0468,29.987,28.6193,28.0381,28.0149,28.7189,25.4815,35.136,36.0475,28.6743,30.0603,27.4621,31.0162,30.1336,33.8856,30.8492,29.5886,27.2025,33.6028,32.3686,29.5698,35.7167,33.2846,28.2138,32.9551,27.9913,30.3373,31.277,30.5894,36.387
05030202,32.8486,29.9107,30.0271,29.1655,27.1333,28.1721,26.0805,23.9081,23.9342,35.1731,34.6773,28.0109,29.5634,26.2635,30.8126,29.6653,33.9195,30.7672,29.9775,25.6164,31.6219,29.6191,30.9637,34.8454,31.8137,27.0396,31.2003,25.8241,30.298,31.6136,31.2579,33.2104
05030203,34.6462,33.5715,31.2953,30.7744,31.5171,30.6542,31.2797,28.5471,26.4619,38.0693,37.5404,30.5403,34.067,28.7562,32.8082,32.4785,35.9188,33.936,32.1727,27.3397,34.9828,33.7974,32.2598,37.2339,34.9534,31.5696,34.2492,28.3756,32.0968,32.9626,32.3664,36.2127
05030204,33.8415,29.8274,29.4656,29.3698,26.9895,27.3911,26.0299,24.5595,25.5219,35.1203,35.6815,24.9659,30.5019,26.5568,29.1871,29.9716,32.889,30.8096,30.5323,25.6515,30.8856,30.8507,30.6975,34.7177,33.3217,26.8386,32.2668,25.8312,29.357,30.6324,31.3935,35.0263
05040001,30.8142,29.9243,24.1565,28.463,28.741,25.3964,25.1588,27.1063,22.5422,28.2577,32.322,21.0274,28.5437,25.1186,26.295,27.6263,28.6686,25.8804,27.2468,24.8224,29.879,25.8426,26.5328,32.0721,31.3683,27.4171,30.662,26.9581,27.4764,27.0877,28.5844,32.8568
05040002,27.77,27.9754,25.215,26.0003,25.6928,26.2896,27.0552,27.6718,21.5687,26.9075,30.8777,21.0307,27.2498,21.8385,23.5608,27.3084,26.8964,25.6514,27.7386,22.7585,29.0543,25.3085,25.3468,29.7547,29.3505,26.0072,29.7446,27.492,26.6647,27.8895,27.4098,29.5293
05040003,29.6331,29.1993,24.808,27.5835,26.6541,24.9888,25.9529,27.4475,22.6002,28.1536,31.5751,20.8997,28.3373,24.5178,24.9267,28.9636,28.118,26.5246,27.9942,24.5391,29.2091,26.7352,27.2764,30.4495,31.0407,27.4918,30.5649,28.0144,26.8144,27.6728,27.4867,30.604
05040004,32.012,30.7724,27.4548,29.2611,26.6204,26.3095,25.726,25.8904,24.6662,31.7408,33.5915,23.4931,28.3703,25.5289,27.8785,28.8083,30.9796,29.5949,29.3088,24.2451,29.3451,29.8081,28.9479,33.5079,32.798,27.6819,31.6138,25.768,28.4716,28.4051,28.0937,33.9499
05040005,31.1203,30.3344,26.0061,28.9391,26.6659,24.4893,25.7397,26.9509,23.0824,30.2313,32.9235,20.5465,27.7903,26.0534,27.7271,27.5382,29.1118,27.4556,28.108,25.2761,27.9043,28.1445,27.4383,33.2998,32.2877,26.0543,31.1916,26.4887,27.2244,27.061,27.6795,33.1532
05040006,29.9671,30.5127,24.2909,27.8001,25.3067,24.6634,25.3572,26.0373,24.1365,30.0276,31.1105,20.4405,29.2107,26.7161,25.9348,29.888,28.4959,29.0604,28.3838,23.1237,28.645,27.568,29.064,30.8613,31.7586,27.6819,31.0918,26.1984,28.1276,27.6383,27.3173,31.299
