HUC_8,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
05020003,9.7248,8.127,7.3221,9.9661,11.2441,8.4911,11.1085,5.6705,7.3415,12.6344,11.521,8.715,7.7909,9.8016,13.0581,6.9076,17.3442,8.3517,10.2139,8.5442,4.7249,5.9999,10.0679,14.3165,11.2798,8.4988,7.3636,11.1408,11.78,6.6407,6.2336,17.3241
05020004,11.526,11.2546,11.835,11.6155,15.8732,11.8365,12.7417,9.944,8.6727,15.301,13.9886,10.0605,11.2972,11.9052,13.5517,9.441,19.9842,11.6651,11.5844,11.1987,8.3977,9.8045,12.9886,18.6536,14.5051,12.253,11.0329,13.3889,14.2042,12.1301,8.3524,18.4211
05020005,6.2879,4.8064,4.8649,6.8387,7.0042,6.0908,7.5352,3.6916,4.2859,7.2751,7.8166,5.9958,5.8445,7.063,8.4912,4.1911,10.8214,5.8999,5.3626,5.7256,3.7211,4.0158,6.4513,8.8205,7.9352,6.0766,5.002,8.3742,7.6284,4.1286,4.3154,12.5389
05020006,7.9508,8.236,7.9931,10.1493,12.2263,10.2669,11.1826,8.6309,8.6276,11.6304,12.4751,8.0781,8.8969,12.0314,11.705,7.3208,16.6916,9.9369,8.6948,9.8671,7.1745,7.3384,10.0279,15.1319,11.6766,9.9993,8.5683,12.5013,12.7552,10.6677,8.8937,16.4011
05030101,8.3967,5.2869,6.5796,7.7896,7.1643,7.2058,7.3822,4.1423,4.457,6.8053,10.8507,4.428,6.4615,7.5173,7.8246,3.7124,9.9141,6.5655,5.6001,6.6401,4.2405,5.6805,6.6007,9.1217,9.8491,8.7541,6.565,9.8431,7.6182,3.9857,5.7689,13.1924
05030102,5.1192,4.3678,5.0639,5.3663,5.5386,5.0762,5.1446,4.3944,3.8516,4.3938,7.0261,2.444,5.7994,5.1212,4.8483,3.7652,7.1871,4.5681,3.8433,4.8297,2.757,3.9396,4.2463,6.1159,4.9957,5.7455,6.9875,6.04,4.9267,3.4507,3.3217,9.7807
05030103,4.4827,3.6355,5.1784,5.4013,5.959,4.8954,5.2656,2.8719,3.5426,3.8045,6.5728,2.2232,5.4965,4.9353,4.4433,3.2931,7.0728,4.0956,3.8943,4.5034,2.4977,4.2143,4.4459,6.6444,5.6712,6.04,7.0331,6.0636,4.8868,3.3241,3.6078,9.6834
05030104,6.1649,4.1308,5.6493,6.2895,6.3367,6.1686,5.886,3.8939,2.9847,5.4831,8.4663,3.7359,6.6799,6.2074,7.4261,3.6781,7.8744,5.9742,4.8821,6.0074,3.027,5.0057,5.359,7.8342,7.3776,6.9061,6.0286,8.331,6.2883,4.1358,4.8294,11.5997
05030105,6.7807,5.1712,5.9864,7.4318,8.2486,7.3117,7.3711,5.842,4.5908,6.677,9.3661,3.8537,7.7413,6.994,8.2226,5.067,8.6613,7.2506,5.4944,7.0137,3.9235,5.9797,6.121,8.5971,7.7669,7.2491,7.4903,9.6369,7.0964,5.0925,5.1099,12.0596
05030106,8.6822,5.7761,6.1088,7.93,6.9629,5.8835,7.3244,3.3049,5.2867,9.5435,11.0137,6.3859,6.37,8.3254,8.8533,5.2098,11.0848,7.127,6.7111,7.2071,4.4867,5.8235,8.5872,10.7637,10.4859,8.4909,6.9689,10.2487,8.6783,5.4897,4.5652,13.7014
05030201,8.506,5.7236,7.5816,8.7272,8.0518,6.4626,7.7097,4.3415,5.2088,11.6157,10.9116,7.6744,6.5447,8.1238,8.9933,6.7276,11.5714,6.7789,7.2518,7.0145,4.1333,5.8322,9.1832,12.8445,10.0956,8.2552,7.7549,8.9116,10.3071,6.6001,5.6151,13.9767
05030202,5.6933,2.5975,5.9938,6.4306,5.6737,5.9293,5.1476,2.395,3.7402,8.0759,6.6924,6.3347,3.7322,5.6572,7.5124,5.0222,9.0384,4.3594,6.4901,5.5265,2.5204,3.8082,6.3211,8.1149,7.0049,5.7933,5.7982,5.4042,8.0425,4.3632,5.2514,10.7994
05030203,8.2742,5.499,8.2672,9.3457,8.3497,7.0437,8.4337,4.872,4.7957,11.6949,9.3782,8.288,7.2889,8.2499,10.3967,7.7399,12.872,6.6873,8.5436,6.7954,4.2953,5.6912,9.0168,11.7281,10.081,8.8226,7.1828,7.3161,10.0036,7.2559,6.2946,12.5314
05030204,7.3813,5.1136,7.9329,7.808,7.0248,7.8497,7.0444,1.7401,5.9443,11.9797,11.8884,7.5829,5.5401,8.5387,8.1001,5.188,14.1101,6.741,7.8507,7.1944,4.1301,7.1798,8.3896,9.4242,10.9952,8.6998,7.8016,9.2291,10.7746,5.092,5.6272,15.4823
05040001,8.4666,6.6337,8.2893,8.8462,7.6447,7.7003,8.1617,2.7287,5.5025,6.9652,12.4939,4.5244,6.3474,8.4716,6.877,4.3702,11.182,5.6559,6.7658,6.6652,4.6058,6.3227,6.5017,9.8853,11.6387,9.8384,8.4526,9.8068,8.1711,5.3196,6.5571,16.2039
05040002,6.3184,5.4545,9.028,6.9811,7.4622,7.5377,8.5255,3.2726,5.1311,6.697,12.071,3.3907,8.0547,7.7167,4.8453,6.1675,10.5788,5.7898,5.2668,6.086,4.8493,6.3238,6.4266,8.1071,10.0068,7.6182,8.0731,8.3067,7.6504,5.0851,5.3684,13.2561
05040003,7.2903,5.8601,9.0105,7.1084,7.3525,7.0481,8.3178,2.5162,5.7358,6.8285,12.3642,4.3995,7.1507,7.8361,5.8023,5.7027,10.8405,5.7089,6.1224,6.4652,5.3279,6.4935,6.4802,8.2289,10.7426,8.3086,8.2911,8.8995,7.7098,5.3029,5.2784,12.9956
05040004,7.4304,4.7914,7.6335,8.0568,7.3968,6.496,6.3915,2.2365,5.4099,8.922,10.9994,5.7141,5.7219,7.5173,6.4881,4.9682,10.8222,6.0049,7.2487,6.2727,4.4348,6.1218,7.4838,8.8665,9.6961,8.4324,6.697,8.5129,10.088,4.6334,5.483,13.8823
05040005,7.9838,5.2288,7.1203,8.9066,7.1833,5.9746,6.9307,2.6186,4.821,8.5857,10.7754,4.9326,4.5747,7.4466,6.5935,4.1191,9.3369,5.8503,6.5774,6.8112,4.3938,6.157,7.3513,9.9218,10.8194,8.2374,7.0653,9.1798,9.4725,5.2864,6.1019,14.5678
05040006,6.838,5.7801,8.0809,7.2722,7.3344,6.8598,7.2097,1.9385,6.7461,7.4746,12.0658,5.6946,6.5596,8.0071,6.2617,5.7037,10.9314,6.9405,6.38,6.4486,5.3149,6.2866,6.5459,8.0878,10.4933,8.9751,7.2447,9.009,9.3226,4.972,5.0423,13.34
05050002,7.0623,3.2465,8.9459,7.2685,8.0071,5.1771,7.302,9.2405,3.1086,9.2304,8.93,7.9824,6.0841,7.2914,9.3726,8.0427,11.9538,4.3332,10.2329,4.4619,3.738,5.3722,9.6321,13.046,12.1355,5.8351,5.6627,5.4185,4.6771,9.4766,5.6949,10.1995
05050003,8.8309,6.7734,10.9254,9.5994,13.9052,7.2036,8.3182,10.0078,4.3652,11.1189,10.8008,9.7826,7.9085,8.9992,10.9783,8.2879,14.2333,6.985,10.7218,7.8051,6.7874,6.023,10.9552,14.7988,10.9501,7.7407,6.395,9.1081,8.1792,10.2022,7.2263,10.7265
05050004,8.3338,6.4695,9.2462,7.4547,10.4179,7.6617,9.5685,9.0649,4.5181,11.8144,10.322,10.3703,6.5186,8.1838,12.5013,8.7407,13.4544,4.6616,12.3271,7.7249,6.5384,7.6939,13.3313,17.0561,12.7429,8.2654,7.0734,8.181,8.4917,10.4059,6.9402,11.1597
05050005,10.2799,10.3353,13.1966,11.5832,15.4301,9.8646,11.2199,9.8719,6.8184,13.9287,12.7101,11.1874,9.9475,11.9593,14.5362,12.7311,18.1416,8.7708,13.9965,10.2706,11.378,9.4063,15.0671,18.9142,15.5254,12.1825,9.5276,11.5972,12.1959,13.6111,9.9182,14.8328
05050006,9.8274,6.0445,10.2714,8.6388,10.9276,9.4076,11.7927,8.5099,5.6117,15.833,10.4086,12.1544,6.9649,10.6958,15.0125,10.9696,15.6489,5.6919,13.7425,8.6652,6.7943,8.7244,14.5414,16.8286,16.2437,11.1065,7.7426,9.4974,11.5897,11.53,10.3699,15.6568
05050007,9.3399,8.42,10.9116,10.7977,12.0258,9.2245,10.8436,8.0744,5.9012,13.5478,12.1055,10.8109,10.9607,10.9675,12.8062,11.3634,17.1846,8.7999,13.3742,9.69,7.9469,7.7187,12.8889,16.0604,14.6982,12.2942,9.215,10.2008,12.0423,11.4942,9.7526,15.7033
05050008,6.5043,3.1433,6.8019,7.2029,6.549,6.1457,6.4051,3.5436,4.104,8.7271,5.8576,7.1031,5.4977,7.176,8.5644,6.9058,9.4886,3.887,7.7882,5.512,2.3035,4.0339,7.3682,8.4626,7.9409,6.591,5.6274,5.7922,8.0404,6.3553,5.9939,11.0605
05050009,11.843,7.9416,12.2893,10.2586,13.0203,10.5326,11.2473,8.393,6.8289,16.1244,11.8296,12.1754,8.5993,10.9462,14.859,11.1671,15.402,6.8417,13.5336,8.4067,6.3056,8.2272,15.3972,18.0206,16.0244,10.6203,9.0648,9.748,11.2139,13.7378,10.5032,16.444
05060001,3.7578,3.2965,5.7641,4.7693,4.9991,4.4071,4.4622,1.4794,3.9093,4.147,6.9807,3.3234,4.9852,5.1573,2.9527,3.7551,6.8366,4.0432,3.518,3.8522,3.1247,4.6263,4.5525,5.7175,5.8694,5.6202,4.6171,5.5198,5.308,3.247,3.191,9.2889
05060002,5.617,3.7246,7.483,6.7008,6.4392,6.271,5.0912,1.4063,4.9881,9.251,9.559,7.295,4.6777,6.2553,7.6237,4.1961,11.5767,6.2928,6.8686,5.9947,3.4819,6.8109,7.6418,9.466,8.9744,7.1058,7.468,8.2578,9.0819,6.1895,5.0055,13.6671
05060003,5.7403,4.5896,7.9378,7.2563,7.3445,6.9294,5.0022,1.8247,5.4308,8.1872,10.7465,6.1575,4.9698,6.4545,6.187,4.4819,11.6146,6.3263,6.4856,4.9113,4.7251,6.8272,8.2471,8.633,8.7028,7.6325,7.65,8.3297,8.9406,5.6355,5.6886,14.1542
05070101,11.9977,9.1965,12.1463,10.4563,13.3111,9.8528,11.3494,8.873,7.0316,14.1214,11.6519,10.5555,8.969,9.5508,13.0627,9.981,13.365,6.4045,12.502,7.4982,8.296,8.1649,15.27,16.391,14.5279,10.3229,9.9179,8.3015,10.6735,13.9617,8.41,14.978
05070102,7.6676,4.9723,9.841,8.1477,9.6185,8.3664,7.907,5.8664,5.82,13.2794,9.3986,9.6581,5.9951,10.7833,12.5404,9.7565,13.566,5.4392,11.1944,7.2983,4.4014,5.9789,12.1145,14.0975,12.2017,9.0873,8.1101,8.5099,9.9592,10.7847,7.9047,14.5472
05070201,8.3925,6.8291,11.1176,7.7597,12.7309,8.6672,10.3597,7.9447,6.8013,15.0795,11.3128,9.8496,7.0787,9.6778,13.3886,10.1322,13.9395,5.6381,13.0461,7.6325,7.4705,6.5622,13.7979,16.5487,14.1987,9.4759,9.0709,7.3557,8.9354,13.3959,8.1237,15.8839
05070202,7.2965,7.0069,13.1003,6.7691,12.0659,7.865,11.8839,11.1733,5.9788,15.9931,10.5749,11.3741,6.7643,9.5077,15.461,11.5612,15.9058,6.2961,13.8884,7.8298,6.7094,7.4418,12.2223,15.4494,14.6071,8.8984,8.7322,5.1764,8.3043,13.8543,8.7101,15.8038
